database_id,cmm_id,prediction
NPA000898,891,1138.242
NPA000899,892,715.34625
NPA000900,893,1355.0717
NPA000901,894,990.8444
NPA000902,895,915.8309
NPA000903,896,647.27814
NPA000904,897,854.7264
NPA000905,898,656.7568
NPA000906,899,911.44507
NPA000907,900,822.0166
NPA000908,901,647.92487
NPA000909,902,743.813
NPA000910,903,987.08575
NPA000911,904,936.9671
NPA000912,905,851.803
NPA000913,906,1151.7997
NPA000914,907,993.4042
NPA000915,908,661.7389
NPA000916,909,900.1994
NPA000917,910,825.7967
NPA000918,911,663.4039
NPA000919,912,1325.2327
NPA000920,913,791.1467
NPA000921,914,947.7006
NPA000922,915,777.43146
NPA000923,916,1049.245
NPA000924,917,644.9741
NPA000925,918,1202.8868
NPA000926,919,971.1149
NPA000927,920,856.3602
NPA000928,921,1060.8076
NPA000929,922,697.0592
NPA000930,923,652.4168
NPA000931,924,766.0526
NPA000932,925,1411.3436
NPA000933,926,571.70966
NPA000934,927,644.2058
NPA000935,928,728.50903
NPA000936,929,1108.6147
NPA000937,930,655.2569
NPA000938,931,841.7286
NPA000939,932,720.193
NPA000940,933,740.62915
NPA000941,934,760.26825
NPA000942,935,635.1209
NPA000943,936,725.0338
NPA000944,937,652.06635
NPA000945,938,673.1691
NPA000946,939,819.2414
NPA000947,940,822.37415
NPA000948,941,899.0961
NPA000949,942,633.0362
NPA000950,943,761.314
NPA000951,944,1120.5474
NPA000952,945,890.629
NPA000953,946,984.10223
NPA000954,947,792.09863
NPA000955,948,766.91956
NPA000956,949,869.54407
NPA000957,950,1251.8978
NPA000958,951,721.6427
NPA000959,952,947.891
NPA000960,953,1036.4929
NPA000961,954,927.1679
NPA000962,955,859.66003
NPA000963,956,558.54846
NPA000964,957,923.6794
NPA000965,958,849.42786
NPA000966,959,702.3391
NPA000967,960,817.89075
NPA000968,961,1222.9429
NPA000969,962,907.7092
NPA000970,963,1210.0306
NPA000971,964,836.45264
NPA000972,965,875.921
NPA000973,966,873.10864
NPA000974,967,985.3265
NPA000975,968,654.867
NPA000976,969,881.91394
NPA000977,970,769.1225
NPA000978,971,1301.1179
NPA000979,972,721.8744
NPA000980,973,755.57446
NPA000981,974,971.1144
NPA000982,975,699.9029
NPA000983,976,587.9687
NPA000984,977,824.1804
NPA000985,978,91.7472
NPA000986,979,910.4798
NPA000987,980,634.21204
NPA000988,981,718.52704
NPA000989,982,847.34106
NPA000990,983,622.5787
NPA000991,984,851.12823
NPA000992,985,863.0805
NPA000993,986,655.29266
NPA000994,987,806.82806
NPA000995,988,654.3066
NPA000996,989,893.6685
NPA000997,990,1257.5729
NPA000998,991,753.62836
NPA000999,992,674.95355
NPA001000,993,749.7377
NPA001001,994,649.4908
NPA001002,995,811.72614
NPA001003,996,1384.0488
NPA001004,997,1002.70294
NPA001005,998,877.60046
NPA001006,999,642.2345
NPA001007,1000,1076.5851
NPA001008,1001,1086.3116
NPA001009,1002,1100.2504
NPA001010,1003,543.34064
NPA001011,1004,753.9349
NPA001012,1005,752.19385
NPA001013,1006,688.89825
NPA001014,1007,912.9755
NPA001015,1008,979.0139
NPA001016,1009,758.1075
NPA001017,1010,733.635
NPA001018,1011,908.533
NPA001019,1012,1174.0054
NPA001020,1013,792.4302
NPA001021,1014,897.6108
NPA001022,1015,740.19055
NPA001023,1016,747.95184
NPA001024,1017,687.3961
NPA001025,1018,585.74133
NPA001026,1019,745.3083
NPA001027,1020,861.1034
NPA001028,1021,646.3598
NPA001029,1022,564.93475
NPA001030,1023,897.5744
NPA001031,1024,829.21643
NPA001032,1025,1077.9247
NPA001033,1026,964.72906
NPA001034,1027,651.8654
NPA001035,1028,734.9216
NPA001036,1029,634.96814
NPA001037,1030,754.6827
NPA001038,1031,1131.808
NPA001039,1032,658.34406
NPA001040,1033,651.1541
NPA001041,1034,838.50653
NPA001042,1035,793.1146
NPA001043,1036,878.0259
NPA001044,1037,678.87427
NPA001045,1038,1016.8796
NPA001046,1039,917.16046
NPA001047,1040,713.3034
NPA001048,1041,852.608
NPA001049,1042,804.0781
NPA001050,1043,918.57336
NPA001051,1044,1163.7948
NPA001052,1045,715.5065
NPA001053,1046,704.7891
NPA001054,1047,795.8515
NPA001055,1048,1245.6462
NPA001056,1049,1092.2728
NPA001057,1050,758.33105
NPA001058,1051,756.3074
NPA001059,1052,964.12085
NPA001060,1053,1033.3103
NPA001061,1054,721.8099
NPA001062,1055,1005.69714
NPA001063,1056,915.5013
NPA001064,1057,667.9803
